Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scale200I', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 83, loss: 1.445809, train acc: 0.933530, train avg acc: 0.902739
Test 83, loss: 1.652052, test acc: 0.868314, test avg acc: 0.826814
Train 84, loss: 1.444805, train acc: 0.932207, train avg acc: 0.901317
Test 84, loss: 1.670320, test acc: 0.857780, test avg acc: 0.828529
Train 85, loss: 1.447727, train acc: 0.931494, train avg acc: 0.900178
Test 85, loss: 1.672339, test acc: 0.862642, test avg acc: 0.816640
Train 86, loss: 1.446910, train acc: 0.933123, train avg acc: 0.900809
Test 86, loss: 1.669870, test acc: 0.867099, test avg acc: 0.827407
Train 87, loss: 1.444297, train acc: 0.932716, train avg acc: 0.900465
Test 87, loss: 1.685325, test acc: 0.842382, test avg acc: 0.808605
Train 88, loss: 1.445704, train acc: 0.933530, train avg acc: 0.905448
Test 88, loss: 1.652586, test acc: 0.869935, test avg acc: 0.837041
Train 89, loss: 1.441766, train acc: 0.936686, train avg acc: 0.906752
Test 89, loss: 1.638657, test acc: 0.878849, test avg acc: 0.839808
Train 90, loss: 1.436700, train acc: 0.938009, train avg acc: 0.909205
Test 90, loss: 1.638868, test acc: 0.866288, test avg acc: 0.814570
Train 91, loss: 1.437038, train acc: 0.937602, train avg acc: 0.910698
Test 91, loss: 1.647212, test acc: 0.884927, test avg acc: 0.844721
Train 92, loss: 1.435477, train acc: 0.938213, train avg acc: 0.908160
Test 92, loss: 1.675479, test acc: 0.867504, test avg acc: 0.833767
Train 93, loss: 1.436147, train acc: 0.937907, train avg acc: 0.909242
Test 93, loss: 1.655653, test acc: 0.869530, test avg acc: 0.830372
Train 94, loss: 1.437409, train acc: 0.936889, train avg acc: 0.905914
Test 94, loss: 1.629549, test acc: 0.867909, test avg acc: 0.834395
Train 95, loss: 1.434255, train acc: 0.939434, train avg acc: 0.909705
Test 95, loss: 1.651731, test acc: 0.882091, test avg acc: 0.846890
Train 96, loss: 1.431641, train acc: 0.938823, train avg acc: 0.909846
Test 96, loss: 1.657941, test acc: 0.869125, test avg acc: 0.830058
Train 97, loss: 1.435408, train acc: 0.937195, train avg acc: 0.906788
Test 97, loss: 1.676772, test acc: 0.868314, test avg acc: 0.828523
Train 98, loss: 1.437356, train acc: 0.938416, train avg acc: 0.911431
Test 98, loss: 1.658605, test acc: 0.867909, test avg acc: 0.826471
Train 99, loss: 1.432103, train acc: 0.939943, train avg acc: 0.914032
Test 99, loss: 1.657117, test acc: 0.882901, test avg acc: 0.851326
Train 100, loss: 1.419869, train acc: 0.945134, train avg acc: 0.919247
Test 100, loss: 1.655106, test acc: 0.867909, test avg acc: 0.835116
Train 101, loss: 1.417869, train acc: 0.944829, train avg acc: 0.920253
Test 101, loss: 1.681886, test acc: 0.863857, test avg acc: 0.835576
Train 102, loss: 1.416330, train acc: 0.946967, train avg acc: 0.922093
Test 102, loss: 1.646114, test acc: 0.871556, test avg acc: 0.833866
Train 103, loss: 1.417788, train acc: 0.945745, train avg acc: 0.918023
Test 103, loss: 1.673856, test acc: 0.861021, test avg acc: 0.837523
Train 104, loss: 1.414780, train acc: 0.947781, train avg acc: 0.923988
Test 104, loss: 1.661745, test acc: 0.870746, test avg acc: 0.833279
Train 105, loss: 1.416445, train acc: 0.947068, train avg acc: 0.922616
Test 105, loss: 1.655025, test acc: 0.870746, test avg acc: 0.840459
Train 106, loss: 1.415409, train acc: 0.945134, train avg acc: 0.920564
Test 106, loss: 1.656400, test acc: 0.876013, test avg acc: 0.842773
Train 107, loss: 1.413366, train acc: 0.949002, train avg acc: 0.924027
Test 107, loss: 1.648703, test acc: 0.877229, test avg acc: 0.837116
Train 108, loss: 1.410873, train acc: 0.950224, train avg acc: 0.929104
Test 108, loss: 1.632910, test acc: 0.875608, test avg acc: 0.842564
Train 109, loss: 1.412855, train acc: 0.946152, train avg acc: 0.921866
Test 109, loss: 1.656557, test acc: 0.868314, test avg acc: 0.820855
Train 110, loss: 1.412343, train acc: 0.948595, train avg acc: 0.922911
Test 110, loss: 1.638703, test acc: 0.883712, test avg acc: 0.853855
Train 111, loss: 1.410832, train acc: 0.949817, train avg acc: 0.926070
Test 111, loss: 1.651928, test acc: 0.872771, test avg acc: 0.840907
Train 112, loss: 1.411168, train acc: 0.950631, train avg acc: 0.924387
Test 112, loss: 1.643149, test acc: 0.878039, test avg acc: 0.845826
Train 113, loss: 1.414724, train acc: 0.949410, train avg acc: 0.924926
Test 113, loss: 1.638155, test acc: 0.871151, test avg acc: 0.826151
Train 114, loss: 1.411176, train acc: 0.949308, train avg acc: 0.926191
Test 114, loss: 1.633382, test acc: 0.884927, test avg acc: 0.854890
Train 115, loss: 1.407276, train acc: 0.951038, train avg acc: 0.929925
Test 115, loss: 1.642182, test acc: 0.876418, test avg acc: 0.846767
Train 116, loss: 1.410686, train acc: 0.948697, train avg acc: 0.925365
Test 116, loss: 1.724203, test acc: 0.841572, test avg acc: 0.818116
Train 117, loss: 1.412281, train acc: 0.946458, train avg acc: 0.920634
