Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_stn_astf_hasbias_rjsrpsAug', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_stn_astf_hasbias_rjsrpsAug', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 51, loss: 1.525922, test acc: 0.898703, test avg acc: 0.863413
Train 52, loss: 1.526872, train acc: 0.916735, train avg acc: 0.875951
Test 52, loss: 1.513174, test acc: 0.893031, test avg acc: 0.864895
Train 53, loss: 1.527602, train acc: 0.918058, train avg acc: 0.878940
Test 53, loss: 1.517260, test acc: 0.903971, test avg acc: 0.866477
Train 54, loss: 1.528012, train acc: 0.917651, train avg acc: 0.878924
Test 54, loss: 1.521220, test acc: 0.898703, test avg acc: 0.860605
Train 55, loss: 1.523660, train acc: 0.918465, train avg acc: 0.880996
Test 55, loss: 1.518783, test acc: 0.890600, test avg acc: 0.865971
Train 56, loss: 1.523878, train acc: 0.920806, train avg acc: 0.881843
Test 56, loss: 1.611891, test acc: 0.866694, test avg acc: 0.842116
Train 57, loss: 1.519591, train acc: 0.922333, train avg acc: 0.882639
Test 57, loss: 1.527806, test acc: 0.893436, test avg acc: 0.866680
Train 58, loss: 1.521360, train acc: 0.919890, train avg acc: 0.880172
Test 58, loss: 1.582033, test acc: 0.882091, test avg acc: 0.842006
Train 59, loss: 1.523262, train acc: 0.920704, train avg acc: 0.882888
Test 59, loss: 1.527454, test acc: 0.897893, test avg acc: 0.866157
Train 60, loss: 1.511023, train acc: 0.921417, train avg acc: 0.881354
Test 60, loss: 1.517057, test acc: 0.897893, test avg acc: 0.865058
Train 61, loss: 1.510405, train acc: 0.923351, train avg acc: 0.886370
Test 61, loss: 1.493198, test acc: 0.908428, test avg acc: 0.880273
