Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 82, loss: 1.657491, test acc: 0.880470, test avg acc: 0.840901
Train 83, loss: 1.444822, train acc: 0.932919, train avg acc: 0.901574
Test 83, loss: 1.667566, test acc: 0.870340, test avg acc: 0.839337
Train 84, loss: 1.435627, train acc: 0.939332, train avg acc: 0.910945
Test 84, loss: 1.650333, test acc: 0.871556, test avg acc: 0.824064
Train 85, loss: 1.436536, train acc: 0.939332, train avg acc: 0.908261
Test 85, loss: 1.640787, test acc: 0.874392, test avg acc: 0.830890
Train 86, loss: 1.436673, train acc: 0.937500, train avg acc: 0.907871
Test 86, loss: 1.664220, test acc: 0.878039, test avg acc: 0.845110
Train 87, loss: 1.438471, train acc: 0.937704, train avg acc: 0.908237
Test 87, loss: 1.664996, test acc: 0.865883, test avg acc: 0.837506
Train 88, loss: 1.441176, train acc: 0.935057, train avg acc: 0.905152
Test 88, loss: 1.676207, test acc: 0.865478, test avg acc: 0.825006
Train 89, loss: 1.436334, train acc: 0.938721, train avg acc: 0.911039
Test 89, loss: 1.649344, test acc: 0.877634, test avg acc: 0.842535
Train 90, loss: 1.435070, train acc: 0.941063, train avg acc: 0.913498
Test 90, loss: 1.639892, test acc: 0.875203, test avg acc: 0.834110
Train 91, loss: 1.434508, train acc: 0.936787, train avg acc: 0.906574
Test 91, loss: 1.640955, test acc: 0.879660, test avg acc: 0.839186
Train 92, loss: 1.432059, train acc: 0.939841, train avg acc: 0.909854
Test 92, loss: 1.659125, test acc: 0.873177, test avg acc: 0.840430
Train 93, loss: 1.432397, train acc: 0.941775, train avg acc: 0.913677
Test 93, loss: 1.678860, test acc: 0.856969, test avg acc: 0.814564
Train 94, loss: 1.432866, train acc: 0.939536, train avg acc: 0.909454
Test 94, loss: 1.645289, test acc: 0.864263, test avg acc: 0.839657
Train 95, loss: 1.431909, train acc: 0.939943, train avg acc: 0.911507
Test 95, loss: 1.666636, test acc: 0.876418, test avg acc: 0.833773
