Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 58, loss: 1.535998, train acc: 0.887317, train avg acc: 0.839670
Test 58, loss: 1.713209, test acc: 0.826985, test avg acc: 0.784058
Train 59, loss: 1.530808, train acc: 0.890879, train avg acc: 0.842017
Test 59, loss: 1.722009, test acc: 0.823744, test avg acc: 0.775872
Train 60, loss: 1.517308, train acc: 0.897191, train avg acc: 0.850865
Test 60, loss: 1.695752, test acc: 0.835494, test avg acc: 0.798256
Train 61, loss: 1.513432, train acc: 0.898208, train avg acc: 0.853079
Test 61, loss: 1.674656, test acc: 0.844408, test avg acc: 0.816924
Train 62, loss: 1.512649, train acc: 0.900448, train avg acc: 0.854885
Test 62, loss: 1.705761, test acc: 0.845624, test avg acc: 0.806738
Train 63, loss: 1.503663, train acc: 0.901262, train avg acc: 0.855881
Test 63, loss: 1.686232, test acc: 0.849676, test avg acc: 0.805302
Train 64, loss: 1.502695, train acc: 0.902077, train avg acc: 0.860276
Test 64, loss: 1.691518, test acc: 0.847650, test avg acc: 0.814384
Train 65, loss: 1.502256, train acc: 0.903502, train avg acc: 0.863282
Test 65, loss: 1.674491, test acc: 0.851297, test avg acc: 0.801157
Train 66, loss: 1.507913, train acc: 0.899939, train avg acc: 0.856296
Test 66, loss: 1.682481, test acc: 0.854133, test avg acc: 0.814994
Train 67, loss: 1.498215, train acc: 0.903909, train avg acc: 0.860275
Test 67, loss: 1.709526, test acc: 0.834279, test avg acc: 0.802035
Train 68, loss: 1.497374, train acc: 0.908998, train avg acc: 0.870630
Test 68, loss: 1.680482, test acc: 0.852512, test avg acc: 0.802035
Train 69, loss: 1.500266, train acc: 0.904418, train avg acc: 0.862055
Test 69, loss: 1.707968, test acc: 0.834684, test avg acc: 0.811843
Train 70, loss: 1.499511, train acc: 0.904723, train avg acc: 0.864553
Test 70, loss: 1.697586, test acc: 0.843193, test avg acc: 0.805913
Train 71, loss: 1.500071, train acc: 0.905537, train avg acc: 0.865590
Test 71, loss: 1.697572, test acc: 0.850081, test avg acc: 0.824424
Train 72, loss: 1.492045, train acc: 0.906046, train avg acc: 0.866013
Test 72, loss: 1.695986, test acc: 0.841167, test avg acc: 0.810000
Train 73, loss: 1.489542, train acc: 0.909914, train avg acc: 0.871122
Test 73, loss: 1.691724, test acc: 0.855754, test avg acc: 0.812576
Train 74, loss: 1.492859, train acc: 0.907573, train avg acc: 0.864738
Test 74, loss: 1.686119, test acc: 0.849676, test avg acc: 0.809378
Train 75, loss: 1.493461, train acc: 0.906352, train avg acc: 0.866520
Test 75, loss: 1.689820, test acc: 0.848055, test avg acc: 0.799029
Train 76, loss: 1.496041, train acc: 0.905334, train avg acc: 0.860913
Test 76, loss: 1.721102, test acc: 0.829822, test avg acc: 0.782465
Train 77, loss: 1.486400, train acc: 0.909202, train avg acc: 0.867723
Test 77, loss: 1.722170, test acc: 0.836305, test avg acc: 0.797506
Train 78, loss: 1.487159, train acc: 0.909914, train avg acc: 0.870889
Test 78, loss: 1.704636, test acc: 0.835089, test avg acc: 0.777517
Train 79, loss: 1.486765, train acc: 0.906963, train avg acc: 0.863137
Test 79, loss: 1.700059, test acc: 0.845219, test avg acc: 0.807744
Train 80, loss: 1.474022, train acc: 0.916327, train avg acc: 0.879313
Test 80, loss: 1.675393, test acc: 0.852512, test avg acc: 0.829965
Train 81, loss: 1.470867, train acc: 0.914393, train avg acc: 0.876539
Test 81, loss: 1.689232, test acc: 0.852107, test avg acc: 0.814215
Train 82, loss: 1.463431, train acc: 0.922944, train avg acc: 0.885775
Test 82, loss: 1.697404, test acc: 0.852917, test avg acc: 0.813587
Train 83, loss: 1.466088, train acc: 0.919279, train avg acc: 0.882675
Test 83, loss: 1.678627, test acc: 0.855348, test avg acc: 0.824331
Train 84, loss: 1.463820, train acc: 0.920603, train avg acc: 0.885090
Test 84, loss: 1.688675, test acc: 0.852107, test avg acc: 0.813169
Train 85, loss: 1.460644, train acc: 0.922638, train avg acc: 0.887308
Test 85, loss: 1.668649, test acc: 0.861426, test avg acc: 0.810233
Train 86, loss: 1.460566, train acc: 0.923351, train avg acc: 0.887344
Test 86, loss: 1.692840, test acc: 0.856969, test avg acc: 0.813733
Train 87, loss: 1.456731, train acc: 0.924165, train avg acc: 0.891589
Test 87, loss: 1.688616, test acc: 0.850081, test avg acc: 0.814035
Train 88, loss: 1.462116, train acc: 0.919076, train avg acc: 0.882735
Test 88, loss: 1.693679, test acc: 0.847245, test avg acc: 0.803738
Train 89, loss: 1.456113, train acc: 0.923656, train avg acc: 0.891961
Test 89, loss: 1.690730, test acc: 0.858185, test avg acc: 0.826564
Train 90, loss: 1.452191, train acc: 0.925285, train avg acc: 0.891018
Test 90, loss: 1.669363, test acc: 0.860616, test avg acc: 0.810820
Train 91, loss: 1.455690, train acc: 0.923351, train avg acc: 0.890855
Test 91, loss: 1.666769, test acc: 0.859400, test avg acc: 0.824238
Train 92, loss: 1.455605, train acc: 0.924776, train avg acc: 0.888897
Test 92, loss: 1.675208, test acc: 0.861021, test avg acc: 0.817657
Train 93, loss: 1.449802, train acc: 0.929458, train avg acc: 0.898099
Test 93, loss: 1.653180, test acc: 0.870746, test avg acc: 0.826198
Train 94, loss: 1.452572, train acc: 0.923656, train avg acc: 0.890634
Test 94, loss: 1.678868, test acc: 0.855348, test avg acc: 0.830035
Train 95, loss: 1.452680, train acc: 0.924369, train avg acc: 0.889020
Test 95, loss: 1.681169, test acc: 0.859400, test avg acc: 0.821907
Train 96, loss: 1.448153, train acc: 0.925998, train avg acc: 0.894917
Test 96, loss: 1.674518, test acc: 0.856969, test avg acc: 0.817570
Train 97, loss: 1.447612, train acc: 0.925081, train avg acc: 0.891697
Test 97, loss: 1.684897, test acc: 0.862642, test avg acc: 0.825826
Train 98, loss: 1.453829, train acc: 0.925692, train avg acc: 0.893808
Test 98, loss: 1.680967, test acc: 0.850081, test avg acc: 0.821762
Train 99, loss: 1.441397, train acc: 0.931189, train avg acc: 0.904705
Test 99, loss: 1.683327, test acc: 0.857780, test avg acc: 0.831215
Train 100, loss: 1.434468, train acc: 0.934141, train avg acc: 0.905135
Test 100, loss: 1.679735, test acc: 0.859806, test avg acc: 0.829448
Train 101, loss: 1.435956, train acc: 0.934243, train avg acc: 0.907163
Test 101, loss: 1.685127, test acc: 0.863047, test avg acc: 0.832366
Train 102, loss: 1.432978, train acc: 0.933734, train avg acc: 0.902775
Test 102, loss: 1.675684, test acc: 0.855754, test avg acc: 0.819750
Train 103, loss: 1.433798, train acc: 0.935057, train avg acc: 0.903721
Test 103, loss: 1.689744, test acc: 0.858590, test avg acc: 0.838581
Train 104, loss: 1.431321, train acc: 0.936075, train avg acc: 0.909026
Test 104, loss: 1.678672, test acc: 0.862237, test avg acc: 0.825407
Train 105, loss: 1.428259, train acc: 0.936075, train avg acc: 0.905602
Test 105, loss: 1.671672, test acc: 0.863047, test avg acc: 0.831413
Train 106, loss: 1.421042, train acc: 0.941164, train avg acc: 0.915001
Test 106, loss: 1.681348, test acc: 0.862237, test avg acc: 0.830651
Train 107, loss: 1.422112, train acc: 0.939027, train avg acc: 0.911447
Test 107, loss: 1.708724, test acc: 0.844408, test avg acc: 0.812233
Train 108, loss: 1.421665, train acc: 0.941063, train avg acc: 0.915314
Test 108, loss: 1.668100, test acc: 0.862642, test avg acc: 0.831610
Train 109, loss: 1.427875, train acc: 0.935770, train avg acc: 0.909119
Test 109, loss: 1.671353, test acc: 0.871151, test avg acc: 0.830198
Train 110, loss: 1.428409, train acc: 0.935973, train avg acc: 0.907099
Test 110, loss: 1.672631, test acc: 0.859400, test avg acc: 0.821942
Train 111, loss: 1.423578, train acc: 0.939638, train avg acc: 0.912897
Test 111, loss: 1.655455, test acc: 0.867099, test avg acc: 0.836314
Train 112, loss: 1.429330, train acc: 0.937195, train avg acc: 0.910873
Test 112, loss: 1.665444, test acc: 0.871556, test avg acc: 0.840407
Train 113, loss: 1.420889, train acc: 0.940045, train avg acc: 0.910315
Test 113, loss: 1.679362, test acc: 0.859400, test avg acc: 0.824198
Train 114, loss: 1.418405, train acc: 0.940452, train avg acc: 0.913115
Test 114, loss: 1.686155, test acc: 0.854133, test avg acc: 0.823860
Train 115, loss: 1.419550, train acc: 0.942895, train avg acc: 0.917977
Test 115, loss: 1.672738, test acc: 0.863452, test avg acc: 0.828860
Train 116, loss: 1.420070, train acc: 0.938314, train avg acc: 0.909845
Test 116, loss: 1.689125, test acc: 0.858995, test avg acc: 0.833535
Train 117, loss: 1.420419, train acc: 0.940248, train avg acc: 0.913763
Test 117, loss: 1.664553, test acc: 0.871151, test avg acc: 0.832628
Train 118, loss: 1.421091, train acc: 0.939638, train avg acc: 0.913287
Test 118, loss: 1.661563, test acc: 0.865883, test avg acc: 0.825826
Train 119, loss: 1.421591, train acc: 0.939332, train avg acc: 0.912736
Test 119, loss: 1.667031, test acc: 0.867099, test avg acc: 0.824523
Train 120, loss: 1.408210, train acc: 0.943709, train avg acc: 0.917300
Test 120, loss: 1.653594, test acc: 0.869530, test avg acc: 0.832988
Train 121, loss: 1.403657, train acc: 0.946967, train avg acc: 0.921710
Test 121, loss: 1.671163, test acc: 0.874392, test avg acc: 0.839029
Train 122, loss: 1.409039, train acc: 0.945542, train avg acc: 0.919980
Test 122, loss: 1.671065, test acc: 0.870746, test avg acc: 0.839488
Train 123, loss: 1.401534, train acc: 0.948392, train avg acc: 0.926702
Test 123, loss: 1.661555, test acc: 0.870746, test avg acc: 0.836198
Train 124, loss: 1.400636, train acc: 0.949308, train avg acc: 0.924824
Test 124, loss: 1.671346, test acc: 0.869530, test avg acc: 0.835233
Train 125, loss: 1.402029, train acc: 0.948392, train avg acc: 0.924548
Test 125, loss: 1.666397, test acc: 0.870746, test avg acc: 0.844360
Train 126, loss: 1.405287, train acc: 0.947068, train avg acc: 0.923449
Test 126, loss: 1.671040, test acc: 0.870340, test avg acc: 0.839448
Train 127, loss: 1.398843, train acc: 0.950326, train avg acc: 0.929104
Test 127, loss: 1.659440, test acc: 0.870340, test avg acc: 0.834535
Train 128, loss: 1.398825, train acc: 0.950428, train avg acc: 0.928972
Test 128, loss: 1.701137, test acc: 0.852512, test avg acc: 0.823453
Train 129, loss: 1.404711, train acc: 0.947170, train avg acc: 0.922825
Test 129, loss: 1.672722, test acc: 0.855348, test avg acc: 0.819186
Train 130, loss: 1.402112, train acc: 0.947374, train avg acc: 0.922363
Test 130, loss: 1.673177, test acc: 0.864263, test avg acc: 0.833669
Train 131, loss: 1.397398, train acc: 0.950835, train avg acc: 0.926412
Test 131, loss: 1.681140, test acc: 0.860211, test avg acc: 0.821907
Train 132, loss: 1.395831, train acc: 0.950733, train avg acc: 0.929000
Test 132, loss: 1.657012, test acc: 0.875203, test avg acc: 0.842581
Train 133, loss: 1.399774, train acc: 0.949511, train avg acc: 0.925016
Test 133, loss: 1.673429, test acc: 0.862642, test avg acc: 0.841413
Train 134, loss: 1.401918, train acc: 0.949104, train avg acc: 0.926088
Test 134, loss: 1.669376, test acc: 0.868720, test avg acc: 0.833622
Train 135, loss: 1.398295, train acc: 0.950835, train avg acc: 0.929979
Test 135, loss: 1.674437, test acc: 0.867099, test avg acc: 0.834820
Train 136, loss: 1.396465, train acc: 0.952972, train avg acc: 0.931460
Test 136, loss: 1.678655, test acc: 0.863452, test avg acc: 0.834983
Train 137, loss: 1.395729, train acc: 0.950326, train avg acc: 0.927715
Test 137, loss: 1.687574, test acc: 0.853323, test avg acc: 0.825959
Train 138, loss: 1.396275, train acc: 0.951344, train avg acc: 0.929003
Test 138, loss: 1.670652, test acc: 0.865883, test avg acc: 0.823785
