Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scaleI', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 62, loss: 1.689396, test acc: 0.849271, test avg acc: 0.815285
Train 63, loss: 1.504451, train acc: 0.901975, train avg acc: 0.857757
Test 63, loss: 1.694184, test acc: 0.862237, test avg acc: 0.810122
Train 64, loss: 1.504124, train acc: 0.901669, train avg acc: 0.858314
Test 64, loss: 1.731652, test acc: 0.843598, test avg acc: 0.804686
Train 65, loss: 1.501728, train acc: 0.906657, train avg acc: 0.869904
Test 65, loss: 1.681373, test acc: 0.858185, test avg acc: 0.817826
Train 66, loss: 1.504496, train acc: 0.903502, train avg acc: 0.862439
Test 66, loss: 1.671938, test acc: 0.856969, test avg acc: 0.808116
Train 67, loss: 1.500029, train acc: 0.900244, train avg acc: 0.855929
Test 67, loss: 1.669521, test acc: 0.858185, test avg acc: 0.822913
Train 68, loss: 1.496617, train acc: 0.905130, train avg acc: 0.866441
Test 68, loss: 1.680749, test acc: 0.847650, test avg acc: 0.812645
Train 69, loss: 1.497434, train acc: 0.901975, train avg acc: 0.860803
Test 69, loss: 1.724026, test acc: 0.833468, test avg acc: 0.814727
Train 70, loss: 1.499343, train acc: 0.903196, train avg acc: 0.861386
Test 70, loss: 1.684579, test acc: 0.846029, test avg acc: 0.814791
Train 71, loss: 1.498500, train acc: 0.904723, train avg acc: 0.863173
Test 71, loss: 1.684922, test acc: 0.858995, test avg acc: 0.823012
Train 72, loss: 1.497537, train acc: 0.905537, train avg acc: 0.863225
Test 72, loss: 1.696293, test acc: 0.848055, test avg acc: 0.812343
Train 73, loss: 1.493067, train acc: 0.905741, train avg acc: 0.866064
Test 73, loss: 1.675216, test acc: 0.858590, test avg acc: 0.820703
Train 74, loss: 1.488388, train acc: 0.909711, train avg acc: 0.869000
Test 74, loss: 1.689526, test acc: 0.850486, test avg acc: 0.811209
Train 75, loss: 1.495176, train acc: 0.906352, train avg acc: 0.865804
Test 75, loss: 1.670025, test acc: 0.861831, test avg acc: 0.822767
Train 76, loss: 1.493227, train acc: 0.908082, train avg acc: 0.869016
Test 76, loss: 1.681393, test acc: 0.856159, test avg acc: 0.821500
Train 77, loss: 1.483366, train acc: 0.911950, train avg acc: 0.873743
Test 77, loss: 1.703639, test acc: 0.841572, test avg acc: 0.815087
Train 78, loss: 1.481553, train acc: 0.913375, train avg acc: 0.876185
Test 78, loss: 1.667750, test acc: 0.858995, test avg acc: 0.812081
Train 79, loss: 1.483739, train acc: 0.909609, train avg acc: 0.867643
Test 79, loss: 1.681092, test acc: 0.852107, test avg acc: 0.811122
Train 80, loss: 1.477560, train acc: 0.912968, train avg acc: 0.874521
Test 80, loss: 1.681837, test acc: 0.857374, test avg acc: 0.829634
Train 81, loss: 1.469529, train acc: 0.918770, train avg acc: 0.883751
Test 81, loss: 1.673074, test acc: 0.867504, test avg acc: 0.827035
Train 82, loss: 1.466159, train acc: 0.919890, train avg acc: 0.884124
Test 82, loss: 1.657708, test acc: 0.865073, test avg acc: 0.816407
Train 83, loss: 1.460201, train acc: 0.924165, train avg acc: 0.891465
Test 83, loss: 1.676862, test acc: 0.863452, test avg acc: 0.827087
Train 84, loss: 1.465117, train acc: 0.917854, train avg acc: 0.883797
Test 84, loss: 1.682085, test acc: 0.854133, test avg acc: 0.817907
Train 85, loss: 1.462811, train acc: 0.920195, train avg acc: 0.885825
Test 85, loss: 1.684488, test acc: 0.860211, test avg acc: 0.821250
Train 86, loss: 1.461791, train acc: 0.920399, train avg acc: 0.885015
Test 86, loss: 1.672396, test acc: 0.858590, test avg acc: 0.824860
Train 87, loss: 1.458111, train acc: 0.923147, train avg acc: 0.888362
Test 87, loss: 1.709815, test acc: 0.841572, test avg acc: 0.807424
Train 88, loss: 1.459725, train acc: 0.922333, train avg acc: 0.888083
Test 88, loss: 1.707075, test acc: 0.854943, test avg acc: 0.817337
Train 89, loss: 1.457274, train acc: 0.925183, train avg acc: 0.893758
Test 89, loss: 1.681949, test acc: 0.863047, test avg acc: 0.828616
Train 90, loss: 1.449807, train acc: 0.925183, train avg acc: 0.893266
Test 90, loss: 1.661726, test acc: 0.871151, test avg acc: 0.822395
Train 91, loss: 1.458188, train acc: 0.921722, train avg acc: 0.887570
Test 91, loss: 1.657392, test acc: 0.870746, test avg acc: 0.827355
Train 92, loss: 1.448651, train acc: 0.928542, train avg acc: 0.894430
Test 92, loss: 1.714956, test acc: 0.839951, test avg acc: 0.811965
Train 93, loss: 1.451590, train acc: 0.925081, train avg acc: 0.893104
Test 93, loss: 1.668954, test acc: 0.860616, test avg acc: 0.814901
Train 94, loss: 1.450125, train acc: 0.925998, train avg acc: 0.893502
Test 94, loss: 1.666727, test acc: 0.859806, test avg acc: 0.833041
Train 95, loss: 1.453868, train acc: 0.924878, train avg acc: 0.893871
Test 95, loss: 1.669969, test acc: 0.867909, test avg acc: 0.828744
Train 96, loss: 1.450128, train acc: 0.925896, train avg acc: 0.893752
Test 96, loss: 1.684994, test acc: 0.852917, test avg acc: 0.813157
Train 97, loss: 1.452041, train acc: 0.924064, train avg acc: 0.892173
Test 97, loss: 1.686940, test acc: 0.856159, test avg acc: 0.816541
Train 98, loss: 1.453121, train acc: 0.925285, train avg acc: 0.891764
Test 98, loss: 1.697137, test acc: 0.844003, test avg acc: 0.817901
Train 99, loss: 1.447821, train acc: 0.926812, train avg acc: 0.896642
Test 99, loss: 1.666768, test acc: 0.865478, test avg acc: 0.834884
Train 100, loss: 1.437556, train acc: 0.931800, train avg acc: 0.901107
Test 100, loss: 1.678342, test acc: 0.867504, test avg acc: 0.832616
Train 101, loss: 1.431990, train acc: 0.935464, train avg acc: 0.908711
Test 101, loss: 1.673130, test acc: 0.866694, test avg acc: 0.842076
Train 102, loss: 1.430338, train acc: 0.935770, train avg acc: 0.907881
Test 102, loss: 1.666502, test acc: 0.866288, test avg acc: 0.836459
Train 103, loss: 1.435583, train acc: 0.931698, train avg acc: 0.903763
Test 103, loss: 1.685862, test acc: 0.863047, test avg acc: 0.825779
Train 104, loss: 1.429061, train acc: 0.935871, train avg acc: 0.906293
Test 104, loss: 1.674628, test acc: 0.865883, test avg acc: 0.821698
Train 105, loss: 1.431064, train acc: 0.934243, train avg acc: 0.903193
Test 105, loss: 1.673649, test acc: 0.873177, test avg acc: 0.837988
Train 106, loss: 1.425125, train acc: 0.939230, train avg acc: 0.913286
Test 106, loss: 1.663015, test acc: 0.866288, test avg acc: 0.829820
Train 107, loss: 1.422281, train acc: 0.938620, train avg acc: 0.909003
Test 107, loss: 1.665652, test acc: 0.867504, test avg acc: 0.836093
Train 108, loss: 1.417947, train acc: 0.942488, train avg acc: 0.918025
